TRADEG,TDECDEG,MJD_OBS
77.06592100,-20.30063800,58460.07711193
10.93607900,-47.69147100,58379.28558665
38.95195400,-39.57602700,58453.24152380
3.85145800,-59.86516500,58449.07082942
6.88624600,-60.87983200,58450.10546014
47.15090800,-35.51852700,58430.26893124
333.27090000,-53.77872100,58429.08727536
37.93532900,-64.93780400,58455.14258451
79.16053300,-37.54666600,58461.05607657
39.88340800,-65.86738700,58487.08524444
22.73540800,-0.01113900,58451.10748959
6.74987900,4.04591700,58430.13689822
93.24733300,-40.55502700,58458.32234149
77.42245400,-60.88049800,58456.24933769
60.71120800,-38.56147100,58457.24939431
11.00491700,-45.66322100,58430.22164567
86.31162100,-29.43111000,58465.16588435
38.69550000,4.04663900,58451.17980171
80.48050400,-20.30052700,58460.07990022
359.36620400,-62.90863700,58377.28906421
334.68070400,-43.63402600,58429.06320237
97.74820400,-60.84572000,58461.17558823
7.31837900,-35.51822100,58450.15897756
24.57862500,-11.17069400,58452.09367638
81.53945800,-42.61786000,58458.33158111
27.33150000,-31.42616600,58371.39069419
49.24275000,-63.92247000,58454.26411218
11.55274600,3.03197200,58448.07333959
27.69904600,-51.71480400,58376.31813914
37.07475000,-5.08372200,58455.06634120
313.10020400,-61.89413700,58401.09782379
33.90504200,3.03169400,58372.32961589
323.64015000,-1.02633300,58390.04206661
29.65204600,-21.31508300,58454.19793624
339.17911700,-41.60511000,58430.11618855
13.18779200,-24.35849900,58379.36907026
44.60083300,-66.86527600,58491.11947172
309.37399600,-40.58999900,58419.01188042
74.18037100,-59.86613700,58456.24657280
28.63450400,-57.83613700,58454.07995362
52.43878300,-28.41591600,58454.27052541
87.70920000,-33.45566600,58457.30799075
3.37437100,-35.51819300,58450.15212434
63.58132500,-51.64786000,58480.08558476
22.69565800,-46.67777600,58430.22909281
18.85528300,-31.45983200,58454.05861847
42.71599600,-51.74977600,58453.25682675
61.97557500,-17.25744400,58410.35311172
27.91558300,-22.29569400,58379.36309268
55.36575000,-20.30236100,58429.29898926
7.45225400,-33.48883200,58449.12105765
9.95582900,2.01819400,58378.31251623
313.40615800,-63.92324800,58401.08855197
358.09252500,-50.73519300,58374.34440485
40.40395400,-48.70624900,58453.24857680
77.11858300,-34.50405500,58457.33495447
341.20624600,-0.01075000,58378.23644492
356.59057500,-47.69169300,58450.04858941
41.83262900,-12.18638900,58429.26267371
342.80390800,-1.02602800,58373.21629016
17.95249600,-3.05461100,58449.10508368
70.71583300,-41.60305400,58458.31760050
34.87699600,-20.30038800,58454.19236804
313.60740000,-40.58997100,58431.04843265
